iter	Passed	Remaining
0	151	151469
1	158	79123
2	164	54789
3	171	42698
4	177	35341
5	183	30439
6	189	26859
7	194	24127
8	199	22018
9	204	20286
10	209	18814
11	213	17575
12	217	16541
13	222	15658
14	226	14885
15	231	14219
16	235	13626
17	239	13086
18	244	12600
19	248	12188
20	253	11806
21	257	11448
22	261	11124
23	266	10832
24	270	10568
25	274	10301
26	279	10062
27	283	9854
28	288	9652
29	292	9455
30	296	9276
31	301	9124
32	306	8971
33	310	8826
34	315	8692
35	319	8561
36	323	8428
37	328	8312
38	332	8202
39	337	8093
40	341	7983
41	345	7877
42	350	7793
43	354	7698
44	358	7606
45	362	7525
46	367	7456
47	371	7375
48	376	7300
49	380	7229
50	384	7155
51	388	7086
52	392	7015
53	397	6955
54	401	6897
55	405	6836
56	409	6776
57	414	6728
58	418	6675
59	422	6625
60	427	6577
61	431	6529
62	435	6481
63	439	6434
64	444	6393
65	448	6344
66	452	6301
67	456	6259
68	460	6219
69	465	6182
70	469	6137
71	472	6092
72	476	6049
73	481	6020
74	484	5980
75	488	5941
76	492	5903
77	496	5869
78	500	5835
79	504	5798
80	507	5761
81	511	5731
82	516	5702
83	519	5669
84	523	5636
85	527	5609
86	531	5578
87	535	5551
88	539	5521
89	543	5495
90	547	5468
91	551	5440
92	554	5410
93	558	5386
94	562	5361
95	566	5335
96	570	5311
97	574	5286
98	579	5269
99	582	5245
100	586	5223
101	590	5197
102	594	5176
103	598	5153
104	601	5129
105	605	5110
106	609	5090
107	614	5071
108	617	5051
109	621	5032
110	625	5013
111	629	4992
112	632	4964
113	636	4943
114	640	4925
115	644	4908
116	647	4888
117	651	4870
118	655	4851
119	659	4837
120	663	4818
121	666	4800
122	670	4782
123	675	4769
124	678	4751
125	682	4734
126	686	4716
127	690	4701
128	694	4686
129	697	4670
130	701	4653
131	705	4636
132	709	4623
133	712	4607
134	716	4592
135	720	4577
136	724	4566
137	729	4557
138	733	4542
139	736	4527
140	741	4514
141	744	4501
142	748	4486
143	752	4471
144	756	4460
145	760	4449
146	764	4436
147	768	4422
148	772	4411
149	776	4398
150	780	4386
151	784	4374
152	788	4362
153	791	4350
154	795	4338
155	799	4324
156	802	4311
157	807	4303
158	811	4292
159	815	4282
160	819	4269
161	823	4261
162	827	4251
163	831	4240
164	835	4227
165	839	4217
166	843	4205
167	846	4194
168	850	4183
169	855	4175
170	859	4164
171	862	4153
172	866	4142
173	871	4135
174	875	4126
175	878	4115
176	882	4103
177	886	4093
178	890	4084
179	894	4074
180	898	4063
181	901	4053
182	906	4047
183	910	4038
184	914	4028
185	918	4018
186	922	4009
187	926	4000
188	929	3989
189	933	3979
190	937	3971
191	941	3963
192	945	3954
193	949	3944
194	953	3936
195	957	3927
196	961	3919
197	965	3909
198	969	3901
199	972	3891
200	976	3882
201	980	3873
202	985	3867
203	989	3860
204	993	3853
205	997	3845
206	1001	3837
207	1005	3828
208	1009	3819
209	1013	3811
210	1017	3804
211	1021	3795
212	1024	3787
213	1028	3778
214	1032	3771
215	1037	3764
216	1041	3757
217	1045	3748
218	1049	3742
219	1054	3737
220	1058	3731
221	1062	3724
222	1066	3716
223	1070	3708
224	1074	3699
225	1077	3690
226	1081	3683
227	1085	3676
228	1089	3668
229	1093	3660
230	1097	3652
231	1101	3645
232	1104	3637
233	1108	3629
234	1112	3620
235	1116	3614
236	1120	3607
237	1124	3599
238	1127	3591
239	1132	3585
240	1136	3579
241	1140	3571
242	1143	3563
243	1147	3556
244	1152	3550
245	1156	3544
246	1160	3536
247	1164	3530
248	1168	3524
249	1172	3518
250	1176	3510
251	1180	3505
252	1185	3498
253	1189	3492
254	1192	3485
255	1196	3478
256	1200	3471
257	1204	3464
258	1208	3457
259	1212	3451
260	1216	3444
261	1220	3436
262	1224	3430
263	1227	3422
264	1231	3416
265	1235	3409
266	1239	3402
267	1243	3396
268	1247	3390
269	1252	3385
270	1255	3378
271	1259	3371
272	1263	3364
273	1267	3358
274	1271	3350
275	1274	3343
276	1279	3338
277	1283	3333
278	1287	3326
279	1290	3319
280	1294	3313
281	1298	3307
282	1303	3301
283	1306	3294
284	1311	3289
285	1314	3282
286	1318	3275
287	1322	3269
288	1326	3262
289	1330	3256
290	1333	3250
291	1337	3243
292	1341	3237
293	1345	3231
294	1349	3225
295	1353	3218
296	1357	3212
297	1361	3207
298	1365	3202
299	1369	3195
300	1373	3189
301	1377	3184
302	1381	3178
303	1385	3171
304	1389	3165
305	1393	3160
306	1397	3153
307	1400	3147
308	1404	3141
309	1408	3134
310	1412	3129
311	1416	3123
312	1420	3117
313	1424	3111
314	1428	3105
315	1431	3099
316	1435	3093
317	1439	3087
318	1443	3081
319	1447	3076
320	1451	3069
321	1454	3063
322	1459	3058
323	1463	3053
324	1467	3047
325	1470	3041
326	1475	3036
327	1478	3030
328	1483	3024
329	1486	3018
330	1490	3012
331	1494	3007
332	1498	3002
333	1502	2995
334	1506	2990
335	1510	2985
336	1514	2979
337	1518	2973
338	1522	2967
339	1526	2963
340	1530	2957
341	1534	2952
342	1538	2946
343	1542	2940
344	1545	2934
345	1549	2929
346	1553	2923
347	1557	2918
348	1561	2912
349	1565	2906
350	1568	2900
351	1573	2896
352	1577	2891
353	1581	2885
354	1585	2880
355	1589	2875
356	1593	2870
357	1597	2864
358	1601	2859
359	1605	2854
360	1609	2848
361	1613	2843
362	1616	2837
363	1621	2832
364	1625	2827
365	1628	2821
366	1632	2815
367	1636	2810
368	1640	2805
369	1644	2799
370	1648	2794
371	1651	2788
372	1656	2784
